trace,cache_size_bytes,hit_rate
sequential_access,1024,0.965
random_access,1024,0.025
working_set,1024,0.92
worst_case,1024,0.0
sequential_access,2048,0.965
random_access,2048,0.04
working_set,2048,0.92
worst_case,2048,0.0
sequential_access,4096,0.965
random_access,4096,0.055
working_set,4096,0.92
worst_case,4096,0.0
sequential_access,8192,0.965
random_access,8192,0.07
working_set,8192,0.92
worst_case,8192,0.975
sequential_access,16384,0.965
random_access,16384,0.075
working_set,16384,0.92
worst_case,16384,0.975
sequential_access,32768,0.965
random_access,32768,0.075
working_set,32768,0.92
worst_case,32768,0.975
sequential_access,65536,0.965
random_access,65536,0.075
working_set,65536,0.92
worst_case,65536,0.975
sequential_access,131072,0.965
random_access,131072,0.075
working_set,131072,0.92
worst_case,131072,0.975
sequential_access,262144,0.965
random_access,262144,0.075
working_set,262144,0.92
worst_case,262144,0.975
